,Age,Gender,Income,Education,Marital Status,Number of Children,Home Ownership,Credit Score
0,29,Female,50719,High School Diploma,Single,0,Rented,Average
1,48,Male,165633,Master's Degree,Married,2,Owned,High
2,29,Female,70075,High School Diploma,Married,0,Rented,Low
3,44,Male,100057,Doctorate,Married,0,Owned,High
4,31,Female,66664,Bachelor's Degree,Single,0,Rented,Low
5,37,Female,82395,Master's Degree,Married,1,Owned,High
6,27,Male,90623,High School Diploma,Single,0,Owned,Average
7,50,Male,89940,Master's Degree,Married,0,Owned,High
8,35,Male,83479,Bachelor's Degree,Single,0,Owned,High
9,48,Female,40154,Bachelor's Degree,Married,2,Owned,High
10,30,Female,50362,Bachelor's Degree,Single,0,Rented,Average
11,49,Female,116981,Master's Degree,Married,1,Owned,High
12,55,Male,74330,Master's Degree,Married,1,Owned,High
13,25,Male,80621,Bachelor's Degree,Single,0,Rented,Average
14,30,Male,76251,Bachelor's Degree,Single,0,Rented,High
15,26,Female,126867,Doctorate,Married,1,Owned,High
16,25,Female,29790,Associate's Degree,Single,0,Rented,Low
17,30,Female,68525,High School Diploma,Single,0,Owned,Low
18,25,Female,52410,Associate's Degree,Single,0,Rented,Average
19,22,Female,59645,High School Diploma,Single,0,Rented,Average
20,51,Female,86738,Doctorate,Married,1,Owned,High
21,25,Female,36691,Associate's Degree,Single,0,Rented,Average
22,45,Male,116505,Master's Degree,Married,0,Owned,High
23,46,Female,66594,Doctorate,Married,1,Owned,High
24,35,Female,50605,High School Diploma,Single,0,Rented,High
25,35,Male,64269,Master's Degree,Single,0,Rented,Low
26,30,Male,86281,Bachelor's Degree,Single,0,Rented,High
27,31,Female,83595,Associate's Degree,Single,0,Rented,Average
28,28,Female,31049,High School Diploma,Single,0,Rented,Low
29,42,Female,82698,Doctorate,Married,3,Owned,High
30,33,Male,96169,Master's Degree,Single,0,Owned,High
31,26,Female,48018,Associate's Degree,Single,0,Owned,Low
32,29,Female,42016,High School Diploma,Single,0,Rented,Average
33,50,Female,92251,Doctorate,Married,1,Owned,High
34,34,Female,59219,High School Diploma,Single,0,Owned,High
35,32,Female,36483,Associate's Degree,Single,0,Rented,Low
36,44,Female,121956,Bachelor's Degree,Married,2,Owned,High
37,31,Female,36006,Associate's Degree,Single,0,Rented,High
38,48,Female,45920,Bachelor's Degree,Married,0,Owned,High
39,43,Female,94307,Master's Degree,Married,2,Owned,High
40,47,Male,90495,Master's Degree,Single,0,Owned,High
41,32,Female,48812,High School Diploma,Single,0,Rented,Average
42,40,Male,88968,Bachelor's Degree,Single,0,Owned,Average
43,28,Female,34376,Associate's Degree,Single,0,Rented,Average
44,47,Female,97494,Doctorate,Married,1,Owned,High
45,35,Male,88740,Associate's Degree,Single,0,Owned,High
46,29,Male,51235,Associate's Degree,Single,0,Rented,Average
47,30,Female,40568,Bachelor's Degree,Single,0,Rented,High
48,53,Female,96561,Bachelor's Degree,Married,3,Owned,High
49,35,Male,98209,Master's Degree,Married,2,Owned,High
50,30,Female,27717,High School Diploma,Single,0,Rented,Low
51,31,Female,109549,Bachelor's Degree,Married,1,Owned,High
52,28,Female,13963,Associate's Degree,Single,0,Rented,Low
53,29,Male,37961,Associate's Degree,Single,0,Rented,Average
54,27,Female,77564,Bachelor's Degree,Married,1,Owned,High
55,27,Female,33856,Bachelor's Degree,Single,0,Rented,Low
56,33,Female,63849,Bachelor's Degree,Married,1,Owned,High
57,45,Female,28578,Bachelor's Degree,Married,2,Owned,High
58,27,Female,34721,High School Diploma,Single,0,Rented,Average
59,32,Male,52415,High School Diploma,Single,0,Owned,High
60,30,Female,25668,High School Diploma,Single,0,Rented,Low
61,41,Male,134788,Doctorate,Married,2,Owned,High
62,30,Female,24706,High School Diploma,Single,0,Rented,Low
63,44,Male,97029,Master's Degree,Married,2,Owned,High
64,28,Female,35668,Associate's Degree,Single,0,Rented,Average
65,26,Female,33784,Doctorate,Single,0,Rented,Low
66,36,Female,6347,Bachelor's Degree,Single,0,Owned,High
67,47,Female,112638,Bachelor's Degree,Married,1,Owned,High
68,34,Male,75716,Associate's Degree,Single,0,Rented,Average
69,28,Female,25875,Associate's Degree,Single,0,Rented,Low
70,47,Male,94266,Doctorate,Married,1,Owned,High
71,50,Female,113594,Doctorate,Married,1,Owned,High
72,30,Female,24576,High School Diploma,Single,0,Rented,Average
73,34,Female,28020,High School Diploma,Single,0,Owned,Low
74,39,Female,32388,Bachelor's Degree,Single,0,Rented,Low
75,28,Female,25596,Associate's Degree,Single,0,Rented,Low
76,36,Male,55970,Bachelor's Degree,Single,0,Rented,High
77,34,Female,55259,Associate's Degree,Single,0,Rented,Average
78,24,Female,19631,Associate's Degree,Single,0,Rented,Average
